symbol,exchange,currency,example_local_symbol,example_conid,description
SJY,CME,JPY,SJYH6,728776083,SWISS FRANC
SMC,CME,USD,SMCH6,750150237,E-MINI S&P SMALLCAP 600 FUTURES
SOFR1,CME,USD,SR1F6,751746382,SECURED OVERNIGHT FINANCING RATE 1-MONTH AVERAGE OF RATES
SOFR3,CME,USD,SR3U8,385575837,SECURED OVERNIGHT FINANCING RATE 3-MONTH AVERAGE OF RATES
SOL,CME,USD,SOLZ6,768784687,CME CF SOLANA &#150; DOLLAR REFERENCE RATE
SONIA,CME,GBP,SONZ5,476428467,STERLING OVERNIGHT INDEX AVERAGE
SPGSCIP,CME,USD,GIEZ6,742453703,S&P GSCI EXCESS RETURN INDEX
SPSIBI,CME,USD,SXTH6,750150266,S&P BIOTECHNOLOGY SELECT INDUSTRY INDEX
SPSIINS,CME,USD,SXIH6,750150254,S&P INSURANCE SELECT INDUSTRY INDEX
SPSIOP,CME,USD,SXOH6,750150256,S&P OIL & GAS EXPLORATION & PRODUCTION SELECT INDUSTRY INDEX
SPSIRBK,CME,USD,SXBH6,750150251,S&P REGIONAL BANKS
SPSIRE,CME,USD,SXRH6,750150261,S&P RETAIL SELECT INDUSTRY INDEX
SPSOX,CME,USD,SOXH6,750150241,E-MINI PHLX SEMICONDUCTOR SECTOR
SPW,CME,USD,EWFH6,750150176,S&P 500 EQUAL WEIGHT INDEX
SPXDIVAN,CME,USD,SDAZ7,402499983,S&P 500 DIVIDEND POINTS (ANNUAL) INDEX
SPXESUP,CME,USD,ESGH6,750150172,E-MINI S&P 500 ESG
SS,ICEUS,CHF,SSH6,769319833,BRITISH POUND IN SWISS FRANC
SVX,CME,USD,SUH6,815824311,S&P 500 / CITIGROUP VALUE INDEX
TBF3,CME,USD,TBF3H6,768784716,13-WEEK US TREASURY BILL
THAI,CME,USD,THAIH26,794630413,THAI BAHT
TIO,COMEX,USD,TION6,606184166,"IRON ORE 62% FE, CFR CHINA (TSI) FUTURES"
TN,CBOT,USD,TNH6,792996508,ULTRA 10-YEAR US TREASURY NOTE
TT,NYMEX,USD,TTH6,687497198,NYMEX COTTON INDEX
TWE,CBOT,USD,TWEH6,792996512,20-YEAR U.S. TREASURY BOND
UB,CBOT,USD,UBH6,792996517,ULTRA TREASURY BOND
USDZAR,NYBOT,ZAR,ZRH6,476938440,UNITED STATES DOLLAR
UX,COMEX,USD,UXF6,467524687,URANIUM INDEX
VA,CFE,USD,VAM6,750261230,S&P 500 VARIANCE
VIX,CFE,USD,VXF6,778990285,CBOE VOLATILITY INDEX
VIXTAS,CFETAS,USD,VXTF6,779023337,VIX TRADING AT SETTLEMENT
VXM,CFE,USD,VXMF6,800674919,MINI CBOE VOLATILITY INDEX FUTURES
WDC,CME,USD,WDCG6,404872162,WASHINGTON DC HOUSING INDEX
WTI,IPE,USD,WTIM6,297249744,WEST TEXAS INTERMEDIATE LIGHT SWEET CRUDE OIL
XAZ,CME,USD,XAZH6,750150311,COMMUNICATION SERVICES SELECT SECTOR INDEX
